,community_id,community_area_name,Per_Below_Poverty_Level,Per_Crowded_Housing,Per_Dependency,Per_No_High_School_Diploma,PerCapita_Income,2020_HH_SIZE,TOT_POP,MED_AGE,per_white,per_hisp,per_black,per_asian,per_other,MEDINC,Per_Unemployment,pop_dens_sqmi,stop_dens_sqmi
0,1.0,Rogers Park,22.7,7.9,28.8,18.1,23714.0,1.978713734,100.0,34.65535076,44.28948834534443,18.936793487051382,27.063601890624156,5.423862839890013,4.28625343709002,46244.10377,7.5,30232.61,54.89130435
1,2.0,West Ridge,15.1,7.0,38.3,19.6,21375.0,2.850979504,100.0,35.61764109,42.05401013166081,19.697065881187868,11.637443977502127,21.02002209159123,5.591457918057972,57937.30032,7.9,21847.59,55.52407932
2,3.0,Uptown,22.7,4.6,22.2,13.6,32355.0,1.709824616,100.0,36.502262,53.16973071165458,14.988310093687451,18.084873765831833,10.382991606815468,3.3740938220106638,57878.09524,7.7,24647.41,76.72413793
3,4.0,Lincoln Square,9.5,3.1,25.6,12.5,35503.0,2.087917254,100.0,35.12663571,64.30471584038693,17.830713422007253,2.9842805320435306,9.119709794437727,5.760580411124547,80899.83877,6.8,15817.97,53.125
4,5.0,North Center,7.1,0.2,25.5,5.4,51615.0,2.348000804,100.0,34.31010125,74.71916330031543,11.96115322893033,2.5538155055060594,5.965358862265508,4.800509102982679,133537.464,4.5,17128.78,56.09756098
5,6.0,Lake View,10.5,1.2,16.5,2.9,58227.0,1.780028066,100.0,31.50931929,76.17226012540915,8.973853373821825,4.243404188192609,7.045391805024254,3.565090507552155,91941.20988,4.7,33028.85,73.71794872
6,7.0,Lincoln Park,11.8,0.6,20.4,4.3,71403.0,1.903120607,100.0,30.5704314,79.97498850045999,6.2514374425023,3.7890984360625573,7.3079576816927325,2.6765179392824288,117048.0738,4.5,22307.59,53.48101266
7,8.0,Near North Side,13.4,2.0,23.3,3.4,87163.0,1.556212042,100.0,34.6875,69.07289974320004,6.086683087888475,6.931502541795504,14.550600073371417,3.3583145537445622,109049.1788,5.2,38496.72,95.25547445
8,9.0,Edison Park,5.1,0.6,36.6,8.5,38337.0,2.434819353,100.0,41.2605042,82.72132339574623,9.87093255771678,0.4181057989456462,2.563170332666788,4.426467914924559,113960.728,7.4,10199.12,14.15929204
9,10.0,Norwood Park,5.9,2.3,40.6,13.5,31659.0,2.472949161,100.0,41.69027061,77.02257735367631,15.338518654967714,0.6548234305353052,4.388669482920225,2.595908834617788,90475.12039,7.3,8764.99,24.25629291
10,11.0,Jefferson Park,6.4,1.9,34.4,13.5,27280.0,2.475578649,100.0,38.27886136,58.21504743693462,24.36566889755093,2.625579171876149,11.587114804736338,3.206589688901964,77198.06008,9.0,11251.5,42.91845494
11,12.0,Forest Glen,6.1,1.3,40.6,6.3,41509.0,2.785215781,100.0,42.42987606,73.86089923725412,13.182456844640706,0.5570052187876355,10.226816539542352,2.1728221597751904,129516.6403,5.5,6123.75,29.375
12,13.0,North Park,12.4,3.8,39.7,18.2,24941.0,2.607689997,100.0,38.3153431,48.74508135701372,18.728065511007124,2.238647240242476,26.262894820801876,4.0253110709348086,60362.90323,7.5,6967.86,37.3015873
13,14.0,Albany Park,17.1,11.2,32.1,34.9,20355.0,2.74273061,100.0,34.26150833,33.638392857142854,46.00852272727273,5.113636363636364,12.538555194805195,2.700892857142857,69397.59036,9.0,25206.25,49.47916667
14,15.0,Portage Park,12.3,4.4,34.6,18.7,23617.0,2.684502475,100.0,38.9126813,47.00010951360316,42.51161626433455,1.6395750872197623,5.943459691171639,2.905239443670896,75868.65629,10.6,15954.43,62.02531646
15,16.0,Irving Park,10.8,5.6,31.6,22.0,26713.0,2.417861494,100.0,36.20763142,43.99858219535855,41.15737631520035,2.7348705320498468,8.585180210432057,3.5239907469591825,72045.04095,10.3,16180.69,49.2211838
16,17.0,Dunning,8.3,4.8,34.9,18.0,26347.0,2.72837546,100.0,42.66814304,59.71505265331406,32.13114001881295,2.0854842040057817,5.063436345699405,1.0048867781678024,74525.7732,8.6,11598.66,43.8172043
17,18.0,Montclare,12.8,5.8,35.0,28.4,21257.0,2.850299401,100.0,38.46069869,36.20497844527882,55.64594632179113,3.115004867195105,2.5378945904602976,2.496175775274649,55882.35294,10.8,14546.46,39.39393939
18,19.0,Belmont Cragin,18.6,10.0,36.9,37.0,15246.0,3.322004264,100.0,35.22748666,14.30674722038889,79.88906940143168,2.444534700715845,2.200842767934203,1.15880590952937,58138.0978,11.5,19978.52,63.1713555
19,20.0,Hermosa,19.1,8.4,36.3,41.9,15411.0,3.183589608,100.0,35.34880148,9.890774079350688,82.52816992617537,4.515822648188922,2.3054008548115528,0.7598324914734707,54773.13975,12.9,20565.81,43.58974359
20,21.0,Avondale,14.6,5.8,30.4,25.7,20489.0,2.476951571,100.0,33.56555024,35.602248394004285,53.92130620985011,2.157387580299786,4.470021413276231,3.849036402569593,73616.00306,9.3,18311.62,61.11111111
21,22.0,Logan Square,17.2,3.2,26.7,18.5,29026.0,2.221827585,100.0,32.39190816,51.63084596631826,36.31574522935523,4.529660660744809,4.245243365931572,3.278504777650125,84653.4034,7.5,19962.4,63.78830084
22,23.0,Humboldt Park,32.6,11.2,38.3,36.8,13391.0,2.821623322,100.0,32.66518148,9.020054778404809,55.440157350048715,33.08578886417529,0.529402033050863,1.924596974320325,41535.65292,12.3,15045.83,55.83333333
