,Per_No_High_School_Diploma,per_hisp,per_black,MEDINC,Per_Unemployment,stop_dens_sqmi
0,-0.28482645,-0.273201564,-0.257449686,-0.472793057,-0.836434139,54.89130435
1,-0.162621937,-0.245386716,-0.659804733,-0.052161715,-0.778807621,55.52407932
2,-0.65143999,-0.417658298,-0.491638691,-0.054291459,-0.80762088,76.72413793
3,-0.741056633,-0.313667915,-0.885502149,0.773853936,-0.937280546,53.125
4,-1.319491329,-0.528407958,-0.896729817,2.667351136,-1.268633027,56.09756098
5,-1.523165517,-0.637699434,-0.85266087,1.171037608,-1.239819768,73.71794872
6,-1.409107972,-0.737300033,-0.864510367,2.074189609,-1.268633027,53.48101266
7,-1.48243068,-0.743327632,-0.782548147,1.786450844,-1.16778662,95.25547445
8,-1.066935335,-0.604879458,-0.952434781,1.963130635,-0.850840769,14.15929204
9,-0.659586957,-0.404845787,-0.946260558,1.118298976,-0.865247398,24.25629291
10,-0.659586957,-0.074584138,-0.89485803,0.640692389,-0.620334695,42.91845494
11,-1.246168621,-0.48372611,-0.948811916,2.522712802,-1.124566731,29.375
12,-0.276679482,-0.280837955,-0.90495024,0.035092835,-0.836434139,37.3015873
13,1.083864098,0.717227719,-0.82996291,0.36009144,-0.620334695,49.47916667
14,-0.235944645,0.589292095,-0.920575628,0.592870658,-0.389828621,62.02531646
15,0.032905285,0.539746723,-0.892007422,0.455326365,-0.43304851,49.2211838
16,-0.292973417,0.209518511,-0.908945137,0.544564045,-0.677961213,43.8172043
17,0.554311208,1.069816445,-0.882092512,-0.126082928,-0.361015362,39.39393939
18,1.254950417,1.95676012,-0.899580149,-0.044938565,-0.260168955,63.1713555
19,1.654151827,2.053312594,-0.845555475,-0.165983894,-0.05847614,43.58974359
20,0.334343084,1.006719845,-0.907069707,0.511837508,-0.577114806,61.11111111
21,-0.25223858,0.362613849,-0.845194543,0.908878342,-0.836434139,63.78830084
22,1.238656482,1.062287579,-0.100375103,-0.642166931,-0.144915918,55.83333333
23,-0.667733925,-0.197275135,-0.800672981,1.912570868,-1.052533583,63.75545852
