community_id,community_area_name,Per_Below_Poverty_Level,Per_Crowded_Housing,Per_Dependency,Per_No_High_School_Diploma,PerCapita_Income,Per_Unemployment,bus_count,train_count,total_stops,area_square_mile,stop_dens_kmsq,stop_dens_sqmi,area_square_mile,area_kmsq,pop_dens_sqmi,pop_dens_kmsq,2020_POP,2020_HH_SIZE,TOT_POP,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,MEDINC,INCPERCAP
27,East Garfield Park,39.7,7.5,43.2,26.2,13596,16.4,138,4,142,1.93,28.4,73.57512953,1.93,5,10358.55,3999.44,19992,2.501149719,18075,32.43991416,1074,863,15340,159,639,23066.57224,16138.4229
28,Near West Side,21.6,3.8,22.9,11.2,41488,10.7,361,9,370,5.69,25.10176391,65.02636204,5.69,14.74,11929.88,4606.13,67881,1.879798337,62816,31.74387646,27402,6275,15213,11625,2301,93202.49846,59634.86515
29,North Lawndale,38.6,7.2,40.9,30.4,12548,18.5,198,4,202,3.21,24.30806258,62.92834891,3.21,8.31,10839.25,4185.04,34794,2.664511606,31310,32.67097967,1495,3509,25881,69,356,30960.59113,17708.19019
30,South Lawndale,28.1,17.6,33.1,58.7,10697,11.5,184,1,185,4.59,15.55929352,40.30501089,4.59,11.89,15555.34,6005.92,71399,3.301709104,70235,32.38064169,3884,56749,9103,260,239,36919.74596,14234.46978
31,Lower West Side,27.2,10.4,35.2,44.3,15467,13,153,4,157,2.93,20.68511199,53.58361775,2.93,7.59,11519.11,4447.53,33751,2.437363438,32672,33.07234766,7275,22308,1020,1476,593,59889.22457,30761.85143
32,The Loop,11.1,2,15.5,3.4,67699,4.2,154,16,170,1.65,39.81264637,103.030303,1.65,4.27,25635.15,9897.73,42298,1.607897572,39327,32.57892628,23194,3761,2784,8287,1301,113599.1379,90269.15221
33,Near South Side,11.1,1.4,21,7.1,60593,5.7,84,3,87,1.78,18.87201735,48.87640449,1.78,4.61,16176.97,6245.93,28795,1.80404463,26376,37.4720715,13556,1104,5932,5030,754,115993.1326,88783.76137
34,Armour Square,35.8,5.9,37.9,37.5,16942,11.6,60,2,62,1,23.93822394,62,1,2.59,13890,5362.93,13890,2.446352691,13438.84426,46.4571369,1878.122951,751.0737705,1197.540984,9496.106557,116,37122.66529,24901.0311
35,Douglas,26.1,1.6,31,16.9,23098,16.7,104,1,105,1.65,24.59016393,63.63636364,1.65,4.27,12297.58,4748.09,20291,1.871228994,21450,32.59378349,2270,1152,13964,3121,943,35796.1165,28546.88932
36,Oakland,38.1,3.5,40.5,17.6,19312,26.6,25,0,25,0.58,16.66666667,43.10344828,0.58,1.5,11722.41,4526.02,6799,2.113459745,6973,33.71515679,307,407,6043,114,102,36837.60684,28101.43683
