community_id,community_area_name,Per_Below_Poverty_Level,Per_Crowded_Housing,Per_Dependency,Per_No_High_School_Diploma,PerCapita_Income,2020_HH_SIZE,TOT_POP,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,MEDINC,Per_Unemployment,pop_dens_sqmi,stop_dens_sqmi
40,Washington Park,39.1,4.9,40.9,28.3,13087,2.447174923,10427,31.47073922,191,233,9559,0,444,23351.06383,23.2,8359.87,67.76315789
41,Hyde Park,18.2,2.5,26.7,5.3,39243,1.792077203,27722,30.51812367,13019,2083,6773,3946,1901,52422.56637,6.9,18295.65,60.2484472
42,Woodlawn,28.3,1.8,37.6,17.9,18928,2.186269849,22502,33.20743754,1838,652,18510,766,736,27540.98361,17.3,11799.52,71.98067633
43,South Shore,31.5,2.9,37.6,14.9,18366,2.060043499,52740,37.28693561,1594,1371,48876,165,734,35886.77751,17.7,18420.14,61.09215017
44,Chatham,25.3,2.2,40,13.7,20320,2.106423969,31395,42.30225418,269,271,30285.31764,77,493,39858.57561,19,10749.15,49.83050847
45,Avalon Park,16.7,0.6,41.9,13.3,23495,2.281544029,9597,45.12512307,80,0,9090.682362,129,297,54418.51813,16.6,7566.4,49.6
46,South Chicago,28,5.9,43.1,28.2,15393,2.463647091,29977,34.22471534,857,6182,22565,114,259,39798.13665,17.7,8173.65,35.02994012
47,Burnside,22.5,5.5,40.4,18.6,13756,2.439189189,2180,50.02293578,55,156,1938,0,31,39351.85185,23.4,4142.62,31.14754098
48,Calumet Heights,12,1.8,42.3,11.2,28977,2.371692642,12343,49.43205394,108,543,11533,8,151,57420.14742,17.2,7478.86,45.14285714
49,Roseland,19.5,3.1,40.9,17.4,17974,2.53693634,39623,39.0245098,608,521,37764,106,624,44040.6051,17.8,8053.11,43.77593361
50,Pullman,20.1,1.4,42,15.6,19007,2.276794658,7131,42.59615385,857,307,5732,5,230,48056.72269,21,3216.98,22.16981132
51,South Deering,24.5,6,41.4,21.9,15506,2.646017699,15144,35.8992467,753,4690,9646,0,55,30127.84091,11.8,1294.04,11.10091743
52,East Side,18.7,8.3,42.5,35.5,15347,3.100371216,22924,33.32199646,2950.965891,19452.44734,407.4014388,70.97998976,42,52003.37755,14.5,7289.93,24.83221477
53,West Pullman,24.3,3.3,42.2,22.6,16228,2.703316062,26484,35.88581024,233,1815,23890,0,546,46380.45541,17,7332.58,29.21348315
54,Riverdale,61.4,5.1,50.2,24.6,8535,2.872770511,7414,25.86317136,72,271,7071,0,0,19676.96629,26.4,2057.22,6.515580737
55,Hegewisch,12.1,4.4,41.6,17.9,22561,2.726679358,9250,39.64860189,3398.034109,5202.552663,631.5985612,1.020010237,17,57846.64934,9.6,1913.55,8.969465649
56,Garfield Ridge,9,2.6,39.5,19.4,24684,2.872589081,36049,39.74945335,14728,19029,1671,358,263,80005.68828,8.1,8378.01,32.62411348
