Per_Dependency,Per_No_High_School_Diploma,2020_HH_SIZE,MED_AGE,per_white,per_hisp,per_black,per_asian,per_other,MEDINC,Per_Unemployment,pop_dens_sqmi,stop_dens_sqmi
-0.973337156,-0.28482645,-1.128450869,-0.415708337,0.625400465,-0.273201564,-0.257449686,-0.095778195,1.301235399,-0.472793057,-0.836434139,2.301314162,54.89130435
0.342007624,-0.162621937,0.665483827,-0.209633009,0.540068999,-0.245386716,-0.659804733,1.355876213,2.157760342,-0.052161715,-0.778807621,1.165326158,55.52407932
-1.887155635,-0.65143999,-1.681458376,-0.020190657,0.964372276,-0.417658298,-0.491638691,0.365806034,0.702641482,-0.054291459,-0.80762088,1.544640928,76.72413793
-1.416400661,-0.741056633,-0.903858789,-0.314782247,1.38941091,-0.313667915,-0.885502149,0.248222686,2.26874497,0.773853936,-0.937280546,0.348443671,53.125
-1.430246395,-1.319491329,-0.368961147,-0.489643825,1.786945569,-0.528407958,-0.896729817,-0.045376998,1.638709574,2.667351136,-1.268633027,0.526029942,56.09756098
-2.676362503,-1.523165517,-1.537075311,-1.089433766,1.842412395,-0.637699434,-0.85266087,0.055149969,0.827980789,1.171037608,-1.239819768,2.68014392,73.71794872
-2.136378856,-1.409107972,-1.283918547,-1.29049744,1.987568087,-0.737300033,-0.864510367,0.079588993,0.244865592,2.074189609,-1.268633027,1.227646162,53.48101266
-1.734852555,-1.48243068,-1.997383792,-0.408823548,1.571419448,-0.743327632,-0.782548147,0.753717384,0.692286525,1.786450844,-1.16778662,3.420921488,95.25547445
0.106630137,-1.066935335,-0.190406843,0.99879113,2.092399698,-0.604879458,-0.952434781,-0.362044833,1.393249485,1.963130635,-0.850840769,-0.412788407,14.15929204
0.660459519,-0.659586957,-0.111987641,1.090825988,1.874870245,-0.404845787,-0.946260558,-0.192131597,0.191966824,1.118298976,-0.865247398,-0.607081858,24.25629291
-0.197976022,-0.659586957,-0.106579737,0.360269672,1.156959379,-0.074584138,-0.89485803,0.477883034,0.592718884,0.640692389,-0.620334695,-0.270213785,42.91845494
0.660459519,-1.246168621,0.530231673,1.249213151,1.754184377,-0.48372611,-0.948811916,0.35126962,-0.085678783,2.522712802,-1.124566731,-0.964912484,29.375
0.535847908,-0.276679482,0.165125447,0.368082269,0.795476953,-0.280837955,-0.90495024,1.843870673,1.12999507,0.035092835,-0.836434139,-0.850553922,37.3015873
-0.516427916,1.083864098,0.442855067,-0.500050042,0.218832605,0.717227719,-0.82996291,0.566440904,0.260861342,0.36009144,-0.620334695,1.620351604,49.47916667
-0.170284553,-0.235944645,0.323100888,0.496002774,0.728868831,0.589292095,-0.920575628,-0.047415322,0.394961364,0.592870658,-0.389828621,0.366931036,62.02531646
-0.585656589,0.032905285,-0.225283015,-0.083286057,0.614296153,0.539746723,-0.892007422,0.19846991,0.801009559,0.455326365,-0.43304851,0.397584349,49.2211838
-0.12874735,-0.292973417,0.413331724,1.300238236,1.214216767,0.209518511,-0.908945137,-0.129325859,-0.852122509,0.544564045,-0.677961213,-0.223181149,43.8172043
-0.114901615,0.554311208,0.664085102,0.399210297,0.316802923,1.069816445,-0.882092512,-0.36439744,0.126518188,-0.126082928,-0.361015362,0.176181696,39.39393939
0.148167341,1.254950417,1.634211122,-0.293184926,-0.519084522,1.95676012,-0.899580149,-0.395769444,-0.751114907,-0.044938565,-0.260168955,0.912107788,63.1713555
0.065092934,1.654151827,1.349542318,-0.26720525,-0.687648662,2.053312594,-0.845555475,-0.386037419,-1.012936475,-0.165983894,-0.05847614,0.991672821,43.58974359
